parameter_mapping,parameter_name,parameter_description,parameter_id,description
1665,19245,Shape of ribs,IMPC_XRY_010_001,"Shape of ribs shape_of_ribs, "
1666,19246,Fusion of ribs,IMPC_XRY_011_001,"Fusion of ribs fusion_of_ribs, "
1667,19247,Pelvis,IMPC_XRY_012_001,"Pelvis pelvis, "
1668,19248,Number of cervical vertebrae,IMPC_XRY_013_001,"Number of cervical vertebrae number_of_cervical_vertebrae, "
1669,19249,Number of thoracic vertebrae,IMPC_XRY_014_001,"Number of thoracic vertebrae number_of_thoracic_vertebrae, "
1670,19250,Number of lumbar vertebrae,IMPC_XRY_015_001,"Number of lumbar vertebrae number_of_lumbar_vertebrae, "
1671,19251,Number of pelvic vertebrae,IMPC_XRY_016_001,"Number of pelvic vertebrae number_of_pelvic_vertebrae, "
1672,19252,Number of caudal vertebrae,IMPC_XRY_017_001,"Number of caudal vertebrae number_of_caudal_vertebrae, "
1673,19253,Shape of vertebrae,IMPC_XRY_018_001,"Shape of vertebrae shape_of_vertebrae, "
1674,19254,Fusion of vertebrae,IMPC_XRY_019_001,"Fusion of vertebrae fusion_of_vertebrae, "
1675,19255,Processes on vertebrae,IMPC_XRY_020_001,"Processes on vertebrae processes_on_vertebrae, "
1676,19256,Humerus,IMPC_XRY_021_001,"Humerus humerus, "
1677,19257,Radius,IMPC_XRY_022_001,"Radius radius, "
1678,19258,Ulna,IMPC_XRY_023_001,"Ulna ulna, "
1679,19259,Femur,IMPC_XRY_024_001,"Femur femur, "
1680,19260,Tibia,IMPC_XRY_025_001,"Tibia tibia, "
1681,19261,Fibula,IMPC_XRY_026_001,"Fibula fibula, "
1682,19262,Joints,IMPC_XRY_027_001,"Joints joints, "
1683,19263,Number of digits,IMPC_XRY_028_001,"Number of digits number_of_digits, "
1684,19264,Syndactylism,IMPC_XRY_029_001,"Syndactylism syndactylism, "
1685,19265,Brachydactyly,IMPC_XRY_030_001,"Brachydactyly completeness_of_digits, "
1686,19266,Digit integrity,IMPC_XRY_031_001,"Digit integrity digit_integrity, "
1687,19267,Comment on XRay image,IMPC_XRY_032_001,"Comment on XRay image comment_on_xray_image, "
1688,19268,Tibia length,IMPC_XRY_033_001,"Tibia length tibia_length, "
1689,19269,XRay Images Whole Body Dorso Ventral,IMPC_XRY_034_001,"XRay Images Whole Body Dorso Ventral xray_images, "
1690,19270,Alive,IMPC_XRY_035_001,"Alive alive, "
1691,19271,Xray equipment ID,IMPC_XRY_036_001,"Xray equipment ID xray_equipment_name, "
1692,19272,Xray equipment manufacturer,IMPC_XRY_037_001,"Xray equipment manufacturer xray_equipment_manufacturer, "
1693,19273,Xray equipment model,IMPC_XRY_038_001,"Xray equipment model xray_equipment_model, "
1694,19274,Settings time of exposure,IMPC_XRY_039_001,"Settings time of exposure settings_time_of_exposure, "
1695,19275,Settings level,IMPC_XRY_040_001,"Settings level settings_level, "
1696,19276,Experimenter ID (scan),IMPC_XRY_041_001,"Experimenter ID (scan) experimenter_scan_, "
1697,19277,Experimenter ID (analysis),IMPC_XRY_042_001,"Experimenter ID (analysis) experimenter_analysis_, "
1698,19278,Voltage settings,IMPC_XRY_043_001,"Voltage settings voltage_settings, "
1699,19279,Scanner equipment ID,IMPC_XRY_044_001,"Scanner equipment ID scanner_equipment_name, "
1700,19280,Scanner equipment manufacturer,IMPC_XRY_045_001,"Scanner equipment manufacturer scanner_equipment_manufacturer, "
1701,19281,Scanner equipment model,IMPC_XRY_046_001,"Scanner equipment model scanner_equipment_model, "
1702,19282,Date Xray equipment last calibrated,IMPC_XRY_047_001,"Date Xray equipment last calibrated , "
1703,19283,XRay Images Whole Body Lateral Orientation,IMPC_XRY_048_001,"XRay Images Whole Body Lateral Orientation , "
1704,19284,XRay Images Forepaw,IMPC_XRY_049_001,"XRay Images Forepaw , "
1705,19285,XRay Images Skull Lateral Orientation,IMPC_XRY_050_001,"XRay Images Skull Lateral Orientation , "
1706,19286,XRay Images Skull Dorso Ventral Orientation,IMPC_XRY_051_001,"XRay Images Skull Dorso Ventral Orientation , "
1707,19287,XRay Images Hind Leg and Hip,IMPC_XRY_052_001,"XRay Images Hind Leg and Hip , "
1708,19288,Date Scanner equipment last calibrated,IMPC_XRY_053_001,"Date Scanner equipment last calibrated , "
1709,19289,Free Ontology,IMPC_XRY_054_001,"Free Ontology , "
1710,19290,Shape of spine,IMPC_XRY_055_001,"Shape of spine , "
1711,19291,Scoliosis,IMPC_XRY_056_001,"Scoliosis , "
1712,19292,Kyphosis,IMPC_XRY_057_001,"Kyphosis , "
1713,19293,Lordosis,IMPC_XRY_058_001,"Lordosis , "
1714,19294,Shape of ribcage,IMPC_XRY_059_001,"Shape of ribcage , "
1715,19295,Transitional vertebrae,IMPC_XRY_060_001,"Transitional vertebrae , "
1716,19296,Fusion of processes,IMPC_XRY_061_001,"Fusion of processes , "
1717,19297,Polysyndactylism,IMPC_XRY_062_001,"Polysyndactylism , "
1718,19298,Cervical processes,IMPC_XRY_063_001,"Cervical processes , "
1719,19299,Thoracic processes,IMPC_XRY_064_001,"Thoracic processes , "
1720,19300,Lumbar processes,IMPC_XRY_065_001,"Lumbar processes , "
1721,19301,Sacral processes,IMPC_XRY_066_001,"Sacral processes , "
1722,19302,Caudal processes,IMPC_XRY_067_001,"Caudal processes , "
1723,19303,Missing cranial rib,IMPC_XRY_068_001,"Missing cranial rib NA, "
1724,57175,Rib morphology,IMPC_XRY_069_001,"Rib morphology rib_morphology, "
1725,57176,Cervical vertebrae morphology,IMPC_XRY_070_001,"Cervical vertebrae morphology cervical_vertebrae_morphology, "
1726,57177,Thoracic vertebrae morphology,IMPC_XRY_071_001,"Thoracic vertebrae morphology thoracic_vertebrae_morphology, "
1727,57178,Lumbar vertebrae morphology,IMPC_XRY_072_001,"Lumbar vertebrae morphology lumbar_vertebrae_morphology, "
1728,57179,Pelvic vertebrae morphology,IMPC_XRY_073_001,"Pelvic vertebrae morphology pelvic_vertebrae_morphology, "
1729,57180,Caudal vertebrae morphology,IMPC_XRY_074_001,"Caudal vertebrae morphology caudal_vertebrae_morphology, "
1730,40004,Placenta Development,IMPC_GPL_001_001,"Placenta Development placenta_development, "
1731,40005,Placenta Morphology,IMPC_GPL_002_001,"Placenta Morphology placenta_morphology, "
1732,40006,Placenta Vasculature,IMPC_GPL_003_001,"Placenta Vasculature placenta_vasculature, "
1733,40007,Placenta Size,IMPC_GPL_004_001,"Placenta Size placenta_size, "
1734,40008,Umbilical cord morphology,IMPC_GPL_005_001,"Umbilical cord morphology umbilical_cord_morphology, "
1735,40009,Comment on image,IMPC_GPL_006_001,"Comment on image comment_on_image, "
1736,40010,Images,IMPC_GPL_007_001,"Images images, "
1737,40011,Experimenter ID,IMPC_GPL_008_001,"Experimenter ID experimenter_id, "
1738,40012,Equipment ID,IMPC_GPL_009_001,"Equipment ID equipment_id, "
1739,40013,Equipment Manufacturer,IMPC_GPL_010_001,"Equipment Manufacturer equipment_manufacturer, "
1740,40014,Equipment Model,IMPC_GPL_011_001,"Equipment Model equipment_model, "
1741,40015,Fixative,IMPC_GPL_012_001,"Fixative fixative, "
1742,40016,Time of Dissection,IMPC_GPL_013_001,"Time of Dissection time_of_dissection, "
1743,40017,Somite Stage,IMPC_GPL_014_001,"Somite Stage somite_stage, "
1744,40018,Time of dark cycle start,IMPC_GPL_015_001,"Time of dark cycle start time_of_dark_cycle_start, "
1745,40019,Time of dark cycle end,IMPC_GPL_016_001,"Time of dark cycle end time_of_dark_cycle_end, "
1746,40020,Date equipment last calibrated,IMPC_GPL_017_001,"Date equipment last calibrated date_equipment_last_calibrated, "
1747,47968,Brain - MPATH diagnostic term,IMPC_HIS_001_001,"Brain - MPATH diagnostic term , "
1748,47969,Brain - Free text diagnostic term,IMPC_HIS_002_001,"Brain - Free text diagnostic term , "
1749,47970,Brain - MPATH process term,IMPC_HIS_003_001,"Brain - MPATH process term NA, "
1750,47971,Brain - Severity score,IMPC_HIS_004_001,"Brain - Severity score NA, "
1751,47972,Brain - Descriptor PATO,IMPC_HIS_005_001,"Brain - Descriptor PATO NA, "
1752,47973,Brain - Description,IMPC_HIS_006_001,"Brain - Description NA, "
1753,47974,Eye with optic nerve - MPATH diagnostic term,IMPC_HIS_007_001,"Eye with optic nerve - MPATH diagnostic term NA, "
1754,47975,Eye with optic nerve - Free text diagnostic term,IMPC_HIS_008_001,"Eye with optic nerve - Free text diagnostic term NA, "
1755,47976,Eye with optic nerve - MPATH process term,IMPC_HIS_009_001,"Eye with optic nerve - MPATH process term NA, "
1756,47977,Eye with optic nerve - Severity score,IMPC_HIS_010_001,"Eye with optic nerve - Severity score NA, "
1757,47978,Eye with optic nerve - Descriptor PATO,IMPC_HIS_011_001,"Eye with optic nerve - Descriptor PATO NA, "
1758,47979,Eye with optic nerve - Description,IMPC_HIS_012_001,"Eye with optic nerve - Description NA, "
1759,47980,Spinal cord - MPATH diagnostic term,IMPC_HIS_013_001,"Spinal cord - MPATH diagnostic term NA, "
1760,47981,Spinal cord - Free text diagnostic term,IMPC_HIS_014_001,"Spinal cord - Free text diagnostic term NA, "
1761,47982,Spinal cord - MPATH process term,IMPC_HIS_015_001,"Spinal cord - MPATH process term NA, "
1762,47983,Spinal cord - Severity score,IMPC_HIS_016_001,"Spinal cord - Severity score NA, "
1763,47984,Spinal cord - Descriptor PATO,IMPC_HIS_017_001,"Spinal cord - Descriptor PATO NA, "
1764,47985,Spinal cord - Description,IMPC_HIS_018_001,"Spinal cord - Description NA, "
1765,47986,Thymus - MPATH diagnostic term,IMPC_HIS_019_001,"Thymus - MPATH diagnostic term NA, "
1766,47987,Thymus - Free text diagnostic term,IMPC_HIS_020_001,"Thymus - Free text diagnostic term NA, "
1767,47988,Thymus - MPATH process term,IMPC_HIS_021_001,"Thymus - MPATH process term NA, "
1768,47989,Thymus - Severity score,IMPC_HIS_022_001,"Thymus - Severity score NA, "
1769,47990,Thymus - Descriptor PATO,IMPC_HIS_023_001,"Thymus - Descriptor PATO NA, "
1770,47991,Thymus - Description,IMPC_HIS_024_001,"Thymus - Description NA, "
1771,47992,Thyroid - MPATH diagnostic term,IMPC_HIS_025_001,"Thyroid - MPATH diagnostic term NA, "
1772,47993,Thyroid - Free text diagnostic term,IMPC_HIS_026_001,"Thyroid - Free text diagnostic term NA, "
1773,47994,Thyroid - MPATH process term,IMPC_HIS_027_001,"Thyroid - MPATH process term NA, "
1774,47995,Thyroid - Severity score,IMPC_HIS_028_001,"Thyroid - Severity score NA, "
1775,47996,Thyroid - Descriptor PATO,IMPC_HIS_029_001,"Thyroid - Descriptor PATO NA, "
1776,47997,Thyroid - Description,IMPC_HIS_030_001,"Thyroid - Description NA, "
1777,47998,Heart - MPATH diagnostic term,IMPC_HIS_031_001,"Heart - MPATH diagnostic term NA, "
1778,47999,Heart - Free text diagnostic term,IMPC_HIS_032_001,"Heart - Free text diagnostic term NA, "
1779,48000,Heart - MPATH process term,IMPC_HIS_033_001,"Heart - MPATH process term NA, "
1780,48001,Heart - Severity score,IMPC_HIS_034_001,"Heart - Severity score NA, "
1781,48002,Heart - Descriptor PATO,IMPC_HIS_035_001,"Heart - Descriptor PATO NA, "
1782,48003,Heart - Description,IMPC_HIS_036_001,"Heart - Description NA, "
1783,48004,Trachea - MPATH diagnostic term,IMPC_HIS_037_001,"Trachea - MPATH diagnostic term NA, "
1784,48005,Trachea - Free text diagnostic term,IMPC_HIS_038_001,"Trachea - Free text diagnostic term NA, "
1785,48006,Trachea - MPATH process term,IMPC_HIS_039_001,"Trachea - MPATH process term NA, "
1786,48007,Trachea - Severity score,IMPC_HIS_040_001,"Trachea - Severity score NA, "
1787,48008,Trachea - Descriptor PATO,IMPC_HIS_041_001,"Trachea - Descriptor PATO NA, "
1788,48009,Trachea - Description,IMPC_HIS_042_001,"Trachea - Description NA, "
1789,48010,Esophagus - MPATH diagnostic term,IMPC_HIS_043_001,"Esophagus - MPATH diagnostic term NA, "
1790,48011,Esophagus - Free text diagnostic term,IMPC_HIS_044_001,"Esophagus - Free text diagnostic term NA, "
1791,48012,Esophagus - MPATH process term,IMPC_HIS_045_001,"Esophagus - MPATH process term NA, "
1792,48013,Esophagus - Severity score,IMPC_HIS_046_001,"Esophagus - Severity score NA, "
1793,48014,Esophagus - Descriptor PATO,IMPC_HIS_047_001,"Esophagus - Descriptor PATO NA, "
1794,48015,Esophagus - Description,IMPC_HIS_048_001,"Esophagus - Description NA, "
1795,48016,Lung - MPATH diagnostic term,IMPC_HIS_049_001,"Lung - MPATH diagnostic term NA, "
1796,48017,Lung - Free text diagnostic term,IMPC_HIS_050_001,"Lung - Free text diagnostic term NA, "
1797,48018,Lung - MPATH process term,IMPC_HIS_051_001,"Lung - MPATH process term NA, "
1798,48019,Lung - Severity score,IMPC_HIS_052_001,"Lung - Severity score NA, "
1799,48020,Lung - Descriptor PATO,IMPC_HIS_053_001,"Lung - Descriptor PATO NA, "
1800,48021,Lung - Description,IMPC_HIS_054_001,"Lung - Description NA, "
1801,48022,Liver - MPATH diagnostic term,IMPC_HIS_055_001,"Liver - MPATH diagnostic term NA, "
1802,48023,Liver - Free text diagnostic term,IMPC_HIS_056_001,"Liver - Free text diagnostic term NA, "
1803,48024,Liver - MPATH process term,IMPC_HIS_057_001,"Liver - MPATH process term NA, "
1804,48025,Liver - Severity score,IMPC_HIS_058_001,"Liver - Severity score NA, "
1805,48026,Liver - Descriptor PATO,IMPC_HIS_059_001,"Liver - Descriptor PATO NA, "
1806,48027,Liver - Description,IMPC_HIS_060_001,"Liver - Description NA, "
1807,48028,Gall bladder - MPATH diagnostic term,IMPC_HIS_061_001,"Gall bladder - MPATH diagnostic term NA, "
1808,48029,Gall bladder - Free text diagnostic term,IMPC_HIS_062_001,"Gall bladder - Free text diagnostic term NA, "
1809,48030,Gall bladder - MPATH process term,IMPC_HIS_063_001,"Gall bladder - MPATH process term NA, "
1810,48031,Gall bladder - Severity score,IMPC_HIS_064_001,"Gall bladder - Severity score NA, "
1811,48032,Gall bladder - Descriptor PATO,IMPC_HIS_065_001,"Gall bladder - Descriptor PATO NA, "
1812,48033,Gall bladder - Description,IMPC_HIS_066_001,"Gall bladder - Description NA, "
1813,48034,Stomach - MPATH diagnostic term,IMPC_HIS_067_001,"Stomach - MPATH diagnostic term NA, "
1814,48035,Stomach - Free text diagnostic term,IMPC_HIS_068_001,"Stomach - Free text diagnostic term NA, "
1815,48036,Stomach - MPATH process term,IMPC_HIS_069_001,"Stomach - MPATH process term NA, "
1816,48037,Stomach - Severity score,IMPC_HIS_070_001,"Stomach - Severity score NA, "
1817,48038,Stomach - Descriptor PATO,IMPC_HIS_071_001,"Stomach - Descriptor PATO NA, "
1818,48039,Stomach - Description,IMPC_HIS_072_001,"Stomach - Description NA, "
1819,48040,Small intestine - MPATH diagnostic term,IMPC_HIS_073_001,"Small intestine - MPATH diagnostic term NA, "
1820,48041,Small intestine - Free text diagnostic term,IMPC_HIS_074_001,"Small intestine - Free text diagnostic term NA, "
1821,48042,Small intestine - MPATH process term,IMPC_HIS_075_001,"Small intestine - MPATH process term NA, "
1822,48043,Small intestine - Severity score,IMPC_HIS_076_001,"Small intestine - Severity score NA, "
1823,48044,Small intestine - Descriptor PATO,IMPC_HIS_077_001,"Small intestine - Descriptor PATO NA, "
1824,48045,Small intestine - Description,IMPC_HIS_078_001,"Small intestine - Description NA, "
1825,48046,Large intestine - MPATH diagnostic term,IMPC_HIS_079_001,"Large intestine - MPATH diagnostic term NA, "
1826,48047,Large intestine - Free text diagnostic term,IMPC_HIS_080_001,"Large intestine - Free text diagnostic term NA, "
1827,48048,Large intestine - MPATH process term,IMPC_HIS_081_001,"Large intestine - MPATH process term NA, "
1828,48049,Large intestine - Severity score,IMPC_HIS_082_001,"Large intestine - Severity score NA, "
1829,48050,Large intestine - Descriptor PATO,IMPC_HIS_083_001,"Large intestine - Descriptor PATO NA, "
1830,48051,Large intestine - Description,IMPC_HIS_084_001,"Large intestine - Description NA, "
1831,48052,Pancreas - MPATH diagnostic term,IMPC_HIS_085_001,"Pancreas - MPATH diagnostic term NA, "
1832,48053,Pancreas - Free text diagnostic term,IMPC_HIS_086_001,"Pancreas - Free text diagnostic term NA, "
1833,48054,Pancreas - MPATH process term,IMPC_HIS_087_001,"Pancreas - MPATH process term NA, "
1834,48055,Pancreas - Severity score,IMPC_HIS_088_001,"Pancreas - Severity score NA, "
1835,48056,Pancreas - Descriptor PATO,IMPC_HIS_089_001,"Pancreas - Descriptor PATO NA, "
1836,48057,Pancreas - Description,IMPC_HIS_090_001,"Pancreas - Description NA, "
1837,48058,Spleen - MPATH diagnostic term,IMPC_HIS_091_001,"Spleen - MPATH diagnostic term NA, "
1838,48059,Spleen - Free text diagnostic term,IMPC_HIS_092_001,"Spleen - Free text diagnostic term NA, "
1839,48060,Spleen - MPATH process term,IMPC_HIS_093_001,"Spleen - MPATH process term NA, "
1840,48061,Spleen - Severity score,IMPC_HIS_094_001,"Spleen - Severity score NA, "
1841,48062,Spleen - Descriptor PATO,IMPC_HIS_095_001,"Spleen - Descriptor PATO NA, "
1842,48063,Spleen - Description,IMPC_HIS_096_001,"Spleen - Description NA, "
1843,48064,Kidney - MPATH diagnostic term,IMPC_HIS_097_001,"Kidney - MPATH diagnostic term NA, "
1844,48065,Kidney - Free text diagnostic term,IMPC_HIS_098_001,"Kidney - Free text diagnostic term NA, "
1845,48066,Kidney - MPATH process term,IMPC_HIS_099_001,"Kidney - MPATH process term NA, "
1846,48067,Kidney - Severity score,IMPC_HIS_100_001,"Kidney - Severity score NA, "
1847,48068,Kidney - Descriptor PATO,IMPC_HIS_101_001,"Kidney - Descriptor PATO NA, "
1848,48069,Kidney - Description,IMPC_HIS_102_001,"Kidney - Description NA, "
1849,48070,Adrenal gland - MPATH diagnostic term,IMPC_HIS_103_001,"Adrenal gland - MPATH diagnostic term NA, "
